checkin_id,user_id,resource_name,checkin_time,checkout_time,duration_min,day_of_week,is_planned
222,u_155,Indoor Sports Complex,2026-08-08T05:43:00,2026-08-08T06:24:00,41,Saturday,True
129,u_096,Gymnasium,2026-08-08T05:45:00,2026-08-08T07:27:00,102,Saturday,True
199,u_143,Gymnasium,2026-08-08T05:47:00,2026-08-08T07:20:00,93,Saturday,True
193,u_139,Gymnasium,2026-08-08T05:50:00,2026-08-08T07:25:00,95,Saturday,True
277,u_197,Indoor Sports Complex,2026-08-08T06:09:00,2026-08-08T07:25:00,76,Saturday,True
32,u_029,Gymnasium,2026-08-08T06:16:00,2026-08-08T07:24:00,68,Saturday,True
234,u_166,Gymnasium,2026-08-08T06:20:00,2026-08-08T07:25:00,65,Saturday,True
241,u_171,Indoor Sports Complex,2026-08-08T06:45:00,2026-08-08T07:44:00,59,Saturday,True
137,u_104,Indoor Sports Complex,2026-08-08T06:49:00,2026-08-08T07:25:00,36,Saturday,True
64,u_050,Gymnasium,2026-08-08T06:50:00,2026-08-08T07:41:00,51,Saturday,True
57,u_045,Indoor Sports Complex,2026-08-08T06:58:00,2026-08-08T07:48:00,50,Saturday,True
108,u_080,Gymnasium,2026-08-08T06:58:00,2026-08-08T07:48:00,50,Saturday,True
215,u_152,Indoor Sports Complex,2026-08-08T07:00:00,2026-08-08T08:20:00,80,Saturday,True
73,u_057,Indoor Sports Complex,2026-08-08T07:05:00,2026-08-08T08:16:00,71,Saturday,True
143,u_109,Gymnasium,2026-08-08T07:05:00,2026-08-08T08:03:00,58,Saturday,True
79,u_062,Indoor Sports Complex,2026-08-08T07:06:00,2026-08-08T08:46:00,100,Saturday,True
270,u_193,Indoor Sports Complex,2026-08-08T07:08:00,2026-08-08T08:15:00,67,Saturday,True
272,u_195,Indoor Sports Complex,2026-08-08T07:10:00,2026-08-08T08:31:00,81,Saturday,True
76,u_060,Indoor Sports Complex,2026-08-08T07:12:00,2026-08-08T08:18:00,66,Saturday,True
205,u_147,Indoor Sports Complex,2026-08-08T07:14:00,2026-08-08T08:18:00,64,Saturday,True
