course_id,course_name,department,instructor,building,room,semester,section,day_of_week,start_time,end_time
ME386,Introduction to ME 1,ME,Prof. Cb,Management Building,MB-409,Spring,C,Wed,12:30,14:00
ME386,Introduction to ME 1,ME,Prof. Cb,Management Building,MB-409,Spring,C,Sat,12:30,14:00
ME386,Introduction to ME 1,ME,Prof. Cb,Management Building,MB-409,Spring,C,Fri,12:30,14:00
Physics341,Introduction to Physics 2,Physics,Prof. Vb,Central Library Building,CLB-408,Fall,A,Mon,15:00,16:00
Physics341,Introduction to Physics 2,Physics,Prof. Vb,Central Library Building,CLB-408,Fall,A,Wed,15:00,16:00
Economics220,Introduction to Economics 3,Economics,Prof. Qx,Main Academic Block,MAB-509,Spring,B,Tue,13:00,14:30
Economics220,Introduction to Economics 3,Economics,Prof. Qx,Main Academic Block,MAB-509,Spring,B,Mon,13:00,14:30
ME426,Introduction to ME 4,ME,Prof. My,Central Library Building,CLB-403,Fall,B,Wed,12:30,13:30
ME426,Introduction to ME 4,ME,Prof. My,Central Library Building,CLB-403,Fall,B,Tue,12:30,13:30
CS150,Introduction to CS 5,CS,Prof. Fw,Science Complex,SC-105,Spring,C,Sat,14:30,16:00
CS150,Introduction to CS 5,CS,Prof. Fw,Science Complex,SC-105,Spring,C,Tue,14:30,16:00
CS221,Introduction to CS 6,CS,Prof. Wv,Main Academic Block,MAB-305,Fall,B,Thu,11:00,12:00
CS221,Introduction to CS 6,CS,Prof. Wv,Main Academic Block,MAB-305,Fall,B,Fri,11:00,12:00
Chemistry213,Introduction to Chemistry 7,Chemistry,Prof. Ii,Main Academic Block,MAB-202,Fall,A,Fri,11:30,13:00
Chemistry213,Introduction to Chemistry 7,Chemistry,Prof. Ii,Main Academic Block,MAB-202,Fall,A,Thu,11:30,13:00
Chemistry213,Introduction to Chemistry 7,Chemistry,Prof. Ii,Main Academic Block,MAB-202,Fall,A,Sat,11:30,13:00
Economics495,Introduction to Economics 8,Economics,Prof. Ne,Central Library Building,CLB-108,Spring,C,Fri,12:30,14:00
Economics495,Introduction to Economics 8,Economics,Prof. Ne,Central Library Building,CLB-108,Spring,C,Wed,12:30,14:00
Economics495,Introduction to Economics 8,Economics,Prof. Ne,Central Library Building,CLB-108,Spring,C,Sat,12:30,14:00
Physics409,Introduction to Physics 9,Physics,Prof. Gf,Main Academic Block,MAB-405,Spring,C,Mon,10:00,11:00
Physics409,Introduction to Physics 9,Physics,Prof. Gf,Main Academic Block,MAB-405,Spring,C,Wed,10:00,11:00
CE153,Introduction to CE 10,CE,Prof. Gs,Central Library Building,CLB-501,Spring,B,Wed,08:30,10:00
CE153,Introduction to CE 10,CE,Prof. Gs,Central Library Building,CLB-501,Spring,B,Tue,08:30,10:00
CE153,Introduction to CE 10,CE,Prof. Gs,Central Library Building,CLB-501,Spring,B,Sat,08:30,10:00
CS379,Introduction to CS 11,CS,Prof. Zy,Science Complex,SC-508,Spring,B,Sat,09:00,10:30
CS379,Introduction to CS 11,CS,Prof. Zy,Science Complex,SC-508,Spring,B,Mon,09:00,10:30
CE461,Introduction to CE 12,CE,Prof. Ft,Main Academic Block,MAB-405,Fall,A,Mon,09:00,10:00
CE461,Introduction to CE 12,CE,Prof. Ft,Main Academic Block,MAB-405,Fall,A,Thu,09:00,10:00
CE445,Introduction to CE 13,CE,Prof. Mc,Central Library Building,CLB-305,Fall,A,Wed,12:30,14:00
CE445,Introduction to CE 13,CE,Prof. Mc,Central Library Building,CLB-305,Fall,A,Fri,12:30,14:00
CE445,Introduction to CE 13,CE,Prof. Mc,Central Library Building,CLB-305,Fall,A,Tue,12:30,14:00
Chemistry274,Introduction to Chemistry 14,Chemistry,Prof. Kx,Central Library Building,CLB-308,Spring,B,Tue,08:30,10:00
Chemistry274,Introduction to Chemistry 14,Chemistry,Prof. Kx,Central Library Building,CLB-308,Spring,B,Mon,08:30,10:00
Chemistry274,Introduction to Chemistry 14,Chemistry,Prof. Kx,Central Library Building,CLB-308,Spring,B,Thu,08:30,10:00
CE445,Introduction to CE 15,CE,Prof. Ej,Engineering Tower,ET-205,Spring,C,Sat,13:30,15:00
CE445,Introduction to CE 15,CE,Prof. Ej,Engineering Tower,ET-205,Spring,C,Fri,13:30,15:00
CE445,Introduction to CE 15,CE,Prof. Ej,Engineering Tower,ET-205,Spring,C,Wed,13:30,15:00
Physics234,Introduction to Physics 16,Physics,Prof. Zl,Main Academic Block,MAB-208,Fall,C,Thu,09:00,10:00
Physics234,Introduction to Physics 16,Physics,Prof. Zl,Main Academic Block,MAB-208,Fall,C,Wed,09:00,10:00
Physics234,Introduction to Physics 16,Physics,Prof. Zl,Main Academic Block,MAB-208,Fall,C,Mon,09:00,10:00
Bio122,Introduction to Bio 17,Bio,Prof. Oj,Central Library Building,CLB-109,Spring,B,Mon,14:30,15:30
Bio122,Introduction to Bio 17,Bio,Prof. Oj,Central Library Building,CLB-109,Spring,B,Thu,14:30,15:30
Bio122,Introduction to Bio 17,Bio,Prof. Oj,Central Library Building,CLB-109,Spring,B,Sat,14:30,15:30
